url,articleTitle,commentCount
https://www.foxnews.com/politics/obamas-fbi-brass-hollowed-out-after-latest-resignation-of-key-official,"Obama-era FBI leadership team hollowed out, after latest retirement",14341
https://www.foxnews.com/politics/clinton-foundation-whistleblowers-have-come-forward-with-hundreds-of-pages-of-evidence-meadows-says,"Clinton Foundation whistleblowers have come forward with hundreds of pages of evidence, Meadows says",13783
https://www.foxnews.com/politics/giuliani-flynn-offenses-like-spitting-on-the-sidewalk-calls-mueller-team-sick-puppies,"Giuliani says Flynn offenses like 'spitting on the sidewalk,' calls Mueller team 'sick puppies'",13147
https://www.foxnews.com/politics/lawyers-stopping-comey-from-answering-questions-during-hill-testimony-gop-rep-says,"Lawyers stopping Comey from answering questions in Hill testimony, Issa says",11784
https://www.foxnews.com/politics/trump-lashes-out-at-tillerson-after-criticism-he-was-dumb-as-a-rock,Trump lashes out at Tillerson after criticism: ‘He was dumb as a rock’,11229
https://www.foxnews.com/politics/mueller-memo-michael-flynn-outlining-key-details-about-russia-probes-progress,"Mueller memo says Michael Flynn has provided 'substantial assistance,' recommends lenient sentence",10465
https://www.foxnews.com/politics/mueller-referred-probe-into-clinton-linked-podesta-group-reportedly-kicks-into-high-gear,"Mueller-referred probe into Obama White House Counsel Greg Craig, Clinton-linked Tony Podesta heats up: report",9654
https://www.foxnews.com/politics/ocasio-cortez-called-out-for-claiming-pentagon-cash-would-cover-medicare-for-all,Ocasio-Cortez called out for claiming Pentagon $$ error could fund Medicare for all,9580
https://www.foxnews.com/politics/white-house-says-nothing-of-value-in-new-mueller-filings-while-trump-tweets-they-totally-clear-him,"White House says 'nothing of value' in new Mueller filings, while Trump tweets they 'totally' clear him",9388
https://www.foxnews.com/politics/despite-heat-at-home-trump-approval-ratings-tower-above-embattled-european-leaders,"Despite heat at home, Trump approval ratings tower above embattled European leaders’",9278
https://www.foxnews.com/politics/comey-transcript-released-ex-fbi-boss-claims-not-to-know-remember-key-details-in-russia-case,"Comey transcript released: Ex-FBI boss claims not to know, remember key details in Russia case",8992
https://www.foxnews.com/politics/bush-family-wont-focus-on-disagreements-with-trump-former-bush-sr-staffer-says-report,Bush family wants funeral that avoids anti-Trump sentiment: report,8826
https://www.foxnews.com/politics/ballot-harvesting-bounty-how-dems-used-election-law-change-to-rout-california-republicans,Ballot harvesting bounty: How Dems apparently used election law change to rout California Republicans,8560
https://www.foxnews.com/politics/trump-says-john-kelly-to-leave,Trump says John Kelly will be leaving at the end of the year,8544
https://www.foxnews.com/politics/cracks-in-iran-deal-coalition-europeans-fume-over-tehran-missile-test,Cracks in Iran deal coalition? Europeans fume over Tehran missile test,8503
https://www.foxnews.com/politics/trump-condemns-disgraceful-9th-circuit-dubbing-it-rubber-stamp-for-his-foes,"Trump condemns 'disgraceful' 9th Circuit, dubbing it rubber-stamp for his foes",8268
https://www.foxnews.com/politics/supreme-courts-double-jeopardy-case-holds-mueller-probe-implications-kavanaugh-vote-key,Supreme Court’s double-jeopardy case holds Mueller probe implications; Kavanaugh vote key,7468
https://www.foxnews.com/politics/federal-prosecutors-recommend-substantial-term-of-imprisonment-for-michael-cohen,Federal prosecutors recommend ‘substantial term of imprisonment’ for Michael Cohen,7183
https://www.foxnews.com/politics/trump-takes-aim-at-mueller-teams-conflicts-of-interest-as-major-filings-loom,Trump takes aim at Mueller team’s ‘conflicts of interest’ as major filings loom,7132
https://www.foxnews.com/politics/ocasio-cortez-encourages-donald-trump-jr-to-keep-trolling-her-after-he-shares-meme-about-socialism,"Ocasio-Cortez slams Donald Trump Jr. for meme, says it's a ‘very, very large brain’ plan 'to troll a member of a body that will have subpoena power'",6803
https://www.foxnews.com/politics/national-republican-congressional-committee-suffered-cyber-intrusion-spokesman-says,"National Republican Congressional Committee suffered ‘cyber intrusion,’ spokesman says",6802
https://www.foxnews.com/politics/comey-transcript-says-trump-not-target-in-fbi-probe,Comey says Trump wasn't among 'four Americans' targeted in FBI probe,6795
https://www.foxnews.com/politics/comey-reveals-he-concealed-trump-meeting-memo-from-doj-leaders,Comey reveals he concealed Trump meeting memo from DOJ leaders,6674
https://www.foxnews.com/politics/nick-ayers-who-was-considered-candidate-for-white-house-chief-of-staff-departing-at-years-end,"Nick Ayers, considered candidate for White House chief of staff, 'departing' at year's end",6448
https://www.foxnews.com/politics/democratic-senator-says-party-has-hard-time-connecting-with-voters-because-of-how-smart-they-are,Dems have hard time connecting to voters because they know so much: Hirono,6268
https://www.foxnews.com/politics/from-border-wall-funding-to-criminal-justice-reform-gop-leaders-rushing-to-pass-legislation-in-lame-duck-session,"Lame-duck session sees GOP leaders rushing to pass border wall, criminal justice reform",6087
https://www.foxnews.com/politics/grassley-wants-answers-about-fbi-raid-on-whistleblower-with-information-on-clinton-foundation-uranium-one,"Grassley wants answers about FBI raid on whistleblower with information on Clinton Foundation, Uranium One",6073
https://www.foxnews.com/politics/kamala-harris-aide-resigns-over-harrassment-asettlement,Kamala Harris aide resigns over $400G harassment settlement,5505
https://www.foxnews.com/politics/obamas-choice-beto-meeting-puts-ex-president-in-awkward-spot-as-numerous-allies-eye-2020,"Obama’s choice: Beto meeting puts ex-president in awkward spot, as numerous allies eye 2020",5331
https://www.foxnews.com/politics/mueller-filing-manafort-lied-about-contact-with-trump-officials-other-matters,Mueller filing: Manafort lied about contacts with Trump administration officials,5156
https://www.foxnews.com/politics/republicans-using-maga-rallies-to-build-trump-army-for-2020,Republicans using MAGA rallies to build Trump army for 2020,5129
https://www.foxnews.com/politics/trump-nominates-william-barr-as-attorney-general-heather-nauert-as-un-ambassador,"Trump taps William Barr for attorney general, Heather Nauert for UN ambassador",5033
https://www.foxnews.com/politics/return-of-trumps-asylum-policy-blocked-by-9th-circuit-court-reports,Return of Trump’s asylum policy blocked by 9th Circuit court,4284
https://www.foxnews.com/politics/hillary-clintons-use-of-private-email-server-among-gravest-offenses-to-transparency-judge-says,"Hillary Clinton’s use of private email server among ‘gravest’ offenses to transparency, judge says",4182
https://www.foxnews.com/politics/trump-associate-roger-stone-to-plead-the-fifth-in-senate-russia-probe,Trump associate Roger Stone to plead the Fifth in Senate Russia probe,4156
https://www.foxnews.com/politics/comey-transcript-bureau-brass-called-clinton-interview-unusual-email-use-appalling,"Comey transcript: Bureau brass called Clinton interview ‘unusual,’ email use ‘appalling’",4049
https://www.foxnews.com/politics/haley-set-for-un-showdown-over-historic-vote-to-condemn-hamas,UN fails to adopt US resolution condemning Hamas terrorism,3340
https://www.foxnews.com/politics/bernie-sanders-spends-nearly-300k-for-private-travel,Bernie Sanders spent nearly $300G on private air travel in October: reports,3281
https://www.foxnews.com/politics/trump-to-announce-heather-nauert-as-pick-for-un-ambassador-friday-sources-tell-fox-news,"Trump to announce Heather Nauert as pick for UN Ambassador Friday, sources tell Fox News",3174
https://www.foxnews.com/politics/bob-dole-gives-george-h-w-bush-standing-salute-rising-from-wheelchair-in-dramatic-moment,"Bob Dole gives George H.W. Bush standing salute, rising from wheelchair in dramatic moment",3139
https://www.foxnews.com/politics/warren-expressing-concern-about-releasing-dna-analysis-on-native-american-heritage-report-says,"Warren may be regretting DNA analysis on Native American heritage, report says",3134
https://www.foxnews.com/politics/schiff-dems-hope-to-bring-cohen-back-to-testify-on-possible-collusion-obstruction-of-justice,"Schiff: Dems 'hope to bring' Cohen back to testify on possible collusion, obstruction of justice",3032
https://www.foxnews.com/politics/hamas-hails-un-failure-to-condemn-rocket-attacks-as-slap-in-the-face-of-america,Hamas hails UN failure to condemn rocket attacks as 'slap in the face of America',2884
https://www.foxnews.com/politics/eric-trump-blasts-kellyanne-conways-husband-for-showing-disrespect-towards-wife,Eric Trump blasts Kellyanne Conway’s husband for showing ‘disrespect’ towards wife,2874
https://www.foxnews.com/politics/major-mueller-sentence-filings-imminent-in-manafort-cohen-cases-as-comey-girds-for-testimony-before-house-gop,"Major Mueller sentence filings imminent in Manafort, Cohen cases, as Comey girds for testimony before House GOP",2604
https://www.foxnews.com/politics/over-1000-ballots-may-have-been-destroyed-in-tighty-contested-north-carolina-congressional-race,"Over 1,000 ballots may have been destroyed in NC congressional race, DA says",2587
https://www.foxnews.com/politics/joe-biden-says-hes-most-qualified-person-in-the-country-to-be-president,Joe Biden says he's the 'most qualified person in the country to be president',2444
https://www.foxnews.com/politics/james-comey-will-return-for-more-hill-testimony-as-trump-rips-ex-fbi-director,"James Comey will return for more Hill testimony, as Trump rips ex-FBI director",2285
https://www.foxnews.com/politics/dems-decry-sore-losers-as-disgraceful-wisconsin-gop-limits-power-of-incoming-gov-tony-evers,"Wisconsin Gov.-elect Tony Evers appeals to incumbent Gov. Walker, considers lawsuit after state GOP limits his authority",2256
https://www.foxnews.com/politics/colorado-state-sen-accused-of-using-womens-restroom-resigning-in-january,Democrat accused of repeated use of women’s restroom will resign in January,2197
https://www.foxnews.com/politics/trump-organization-responds-to-claim-presidents-company-hired-illegal-aliens,Trump Organization responds to claims it hired illegal immigrants,2054
https://www.foxnews.com/politics/florida-gov-scotts-fight-with-election-chief-brenda-snipes-heats-up-as-replacement-installed,"Florida Gov. Scott’s fight with election chief Brenda Snipes heats up, as replacement installed",1942
https://www.foxnews.com/politics/court-cites-free-speech-in-striking-down-part-of-federal-law-over-statements-on-illegal-immigration,Court cites free speech in striking down part of federal law over statements on illegal immigration,1799
https://www.foxnews.com/politics/mueller-memo-to-shed-light-on-flynns-cooperation-in-russia-investigation,Mueller memo to shed light on Flynn’s cooperation in Russia investigation,1738
https://www.foxnews.com/politics/gop-senators-turn-up-heat-on-saudi-prince-following-khashoggi-briefing,GOP senators turn up heat on Saudi prince following CIA's Khashoggi briefing,1729
https://www.foxnews.com/politics/alexandria-ocasio-cortez-eyes-powerful-house-commitee-in-charge-of-taxation-laws,Alexandria Ocasio-Cortez eyes powerful House committee in charge of taxation laws,1681
https://www.foxnews.com/politics/pelosi-not-budging-dem-leader-wont-accept-daca-deal-in-exchange-for-wall,Pelosi not budging: Dem leader won't accept DACA deal in exchange for wall $$,1639
https://www.foxnews.com/politics/boston-globe-editorial-board-elizabeth-warren-should-think-carefully-about-run-against-trump-in-2020,Boston Globe Editorial Board: Elizabeth Warren should think carefully about run against Trump,1596
https://www.foxnews.com/politics/trumps-nominations-of-barr-nauert-already-running-into-dem-buzz-saw,"Trump’s nominations of Barr, Nauert already running into Dem buzz saw",1580
https://www.foxnews.com/politics/comey-trump-is-lucky-a-sitting-president-cant-be-indicted-for-being-linked-to-cohen-case,Comey: Trump is lucky a sitting president can’t be indicted for being linked to Cohen case,1533
https://www.foxnews.com/politics/dncs-perez-complains-about-voters-influenced-by-pulpit-on-sunday,DNC's Perez complains about voters influenced by ‘pulpit on Sunday’,1521
https://www.foxnews.com/politics/house-approves-stopgap-spending-bill-averting-partial-government-shut-down,"Congress approves stopgap spending bill averting government shutdown, for now",1345
https://www.foxnews.com/politics/house-democrats-could-revoke-rule-allowing-lawmakers-to-have-guns-on-capitol-grounds,House Democrats could revoke rule allowing lawmakers to have guns on Capitol grounds,1319
https://www.foxnews.com/politics/william-barr-h-w-bush-era-attorney-general-eyed-as-possible-sessions-successor,"William Barr, H.W. Bush-era attorney general, eyed as possible Sessions successor",1277
https://www.foxnews.com/politics/alleged-ballot-harvesting-in-north-carolina-house-race-may-wipe-out-gop-win,Dems threaten not to seat GOP House winner amid ballot harvesting accusations in North Carolina,1177
https://www.foxnews.com/politics/wisconsin-scott-walker-protesters-on-lame-duck-session,Wisconsin protesters drown out Christmas tree-lighting ceremony challenging lame-duck session,1125
https://www.foxnews.com/politics/top-dem-says-trump-campaign-finance-violation-would-certainly-be-impeachable-offense,"Trump campaign finance violation would 'certainly' be impeachable offense, top Dem says",1091
https://www.foxnews.com/politics/comey-says-no-indication-of-bias-from-strzok-testimony-reveals,"Comey claims he saw no 'indication of bias' from Strzok, testimony reveals",1057
https://www.foxnews.com/politics/trump-tosses-coin-at-start-of-army-navy-football-game,Trump tosses coin at start of Army-Navy football game,1014
https://www.foxnews.com/politics/lawyers-want-porn-star-to-pay-trump-340k-in-legal-fees,"Trump attorneys ask Stormy Daniels to pay nearly $800G in legal fees, penalties",989
https://www.foxnews.com/politics/new-yorks-kirsten-gillibrand-mocked-for-saying-future-is-female-and-intersectional,New York Democrat Gillibrand mocked for saying future is 'female' and 'intersectional',980
https://www.foxnews.com/politics/cory-booker-travels-to-new-hampshire-as-2020-speculation-heats-up,Cory Booker travels to New Hampshire as 2020 talk heats up,957
https://www.foxnews.com/politics/president-trump-accuses-dems-of-playing-games-with-border-wall-funding,Trump accuses Dems of 'playing games' with border wall funding,946
https://www.foxnews.com/politics/north-carolina-gop-signals-possible-support-for-new-house-election-amid-reports-of-illegal-ballot-harvesting-fraud,North Carolina Dem McCready retracts concession as GOP signals possible support for new House election,930
https://www.foxnews.com/politics/despite-her-gaffes-media-make-ocasio-cortez-a-beltway-superstar,"Despite her gaffes, media make Ocasio-Cortez a Beltway superstar",838
https://www.foxnews.com/politics/avenatti-announces-he-will-not-seek-a-presidential-bid-against-trump-cites-family-concerns,"Avenatti announces he will not run for president in 2020, cites family concerns",804
https://www.foxnews.com/politics/haley-barbour-discusses-possibility-of-trump-being-challenged-by-a-republican-in-2020,Haley Barbour discusses possibility of Trump being challenged by a Republican in 2020,795
https://www.foxnews.com/politics/2020-democratic-prospects-making-early-moves-in-iowa,2020 Democratic presidential prospects making early moves in Iowa,786
https://www.foxnews.com/politics/dc-maryland-ags-subpoena-trump-org-pentagon-in-lawsuit-over-dc-hotel,"DC, Maryland AGs subpoena Trump Org, Pentagon in lawsuit over DC hotel",780
https://www.foxnews.com/politics/un-scorched-by-haley-israel-as-member-states-shield-hamas-from-condemnation,"UN scorched by Haley, Israel as member states shield Hamas from condemnation",742
https://www.foxnews.com/politics/george-papadopoulos-released-from-prison-after-serving-12-days-of-14-day-sentence,George Papadopoulos released from prison two days early,710
https://www.foxnews.com/politics/funeral-service-for-george-h-w-bush-held-in-texas-ahead-of-train-ride-to-final-resting-place,George H.W. Bush honored at Texas funeral: 'A life nobly lived',685
https://www.foxnews.com/politics/epa-announces-rollback-of-obama-era-coal-emissions-rule,EPA announces rollback of Obama-era coal emissions rule,670
https://www.foxnews.com/politics/harris-warren-eyeing-on-2020-election-unsure-whether-to-support-trump-backed-prison-reform,"Harris and Warren, eyeing 2020, unsure whether to support Trump-backed prison reform",664
https://www.foxnews.com/politics/roger-stone-reiterates-hell-plead-fifth-in-russia-probe-vigorously-defends-trump,Roger Stone reiterates he’ll plead Fifth in Russia probe; vigorously defends Trump,652
https://www.foxnews.com/politics/george-h-w-bush-remembered-at-national-cathedral-funeral-live-blog,George H.W. Bush remembered at National Cathedral funeral – live blog,627
https://www.foxnews.com/politics/americans-pay-respects-to-george-hw-bush-at-capitol,Americans pay respects to George H.W. Bush at Capitol: 'Embodied courtesy and decency',626
https://www.foxnews.com/politics/obama-beto-orourke-meet-amid-2020-speculation-report,"Obama, Beto O'Rourke meet amid 2020 speculation: report",593
https://www.foxnews.com/politics/government-shutdown-threat-looms-over-capitol-hills-christmas-season,Government shutdown threat looms over Capitol Hill's Christmas season,587
https://www.foxnews.com/politics/mexicos-left-wing-president-says-relations-with-trump-good-floats-aid-package-deal-to-create-jobs-for-migrants,"Relations with Trump 'good,' Mexico's 'AMLO' says; floats jobs package for migrants",575
https://www.foxnews.com/politics/non-citizens-nearly-twice-as-likely-to-be-on-welfare-conservative-think-tanks-finds,"Non-citizens nearly twice as likely to be on welfare, conservative think tank finds",570
https://www.foxnews.com/politics/wikileaks-seeks-dismissal-from-dnc-lawsuit,"WikiLeaks requests dismissal of DNC lawsuit, citing First Amendment rights: reports",568
https://www.foxnews.com/politics/republican-rep-david-valadao-concedes-to-dem-tj-cox-in-california-house-race,Republican Rep. David Valadao concedes to Dem TJ Cox in California House race,556
https://www.foxnews.com/politics/george-h-w-bush-once-shaved-head-to-support-secret-service-agents-sick-son-in-classic-41-manner,George H.W. Bush once shaved head to support Secret Service agent's sick son 'in classic 41 manner',520
https://www.foxnews.com/politics/trump-blasts-leakin-james-comey-following-former-fbi-chiefs-testimony-on-capitol-hill,Trump blasts 'Leakin' James Comey' following former FBI chief's testimony on Capitol Hill,494
https://www.foxnews.com/politics/fraud-allegations-loom-over-north-carolina-congressional-race,Fraud allegations loom over North Carolina congressional race,492
https://www.foxnews.com/politics/tom-steyer-democratic-megadonor-seen-by-some-as-2020-hopeful-calls-for-trump-impeachment,"Tom Steyer, Democratic megadonor seen by some as 2020 hopeful, calls for Trump impeachment",415
https://www.foxnews.com/politics/senate-draft-resolution-says-saudi-crown-prince-complicit-in-khashoggi-murder,Senate resolution says Saudi crown prince 'complicit' in Khashoggi murder,408
https://www.foxnews.com/politics/who-is-heather-nauert-3-things-to-know-about-trumps-pick-for-un-ambassador,Who is Heather Nauert? 3 things to know about Trump's pick for UN ambassador,349
https://www.foxnews.com/politics/trump-to-name-gen-mark-milley-to-succeed-chairman-of-joint-chiefs-of-staff-gen-joseph-dunford,Trump to name Gen. Mark Milley to succeed Joint Chiefs Chairman Gen. Joseph Dunford,344
https://www.foxnews.com/politics/ousted-gop-congressman-says-trumpism-isnt-the-future-of-republican-party,Ousted GOP congressman says 'Trumpism isn't the future' of Republican Party,319
https://www.foxnews.com/politics/graham-saudi-arabia-would-be-speaking-farsi-in-about-a-week-without-us,Graham: Saudis would 'be 'speaking Farsi in about a week' without US support against Iran,297
https://www.foxnews.com/politics/george-hw-bushs-casket-arrives-in-houston-en-route-to-final-resting-place,George H.W. Bush’s casket arrives in Houston en route to final resting place,283
https://www.foxnews.com/politics/cia-director-gina-haspel-to-brief-senate-leaders-on-khashoggi-murder-source-says,"CIA Director Gina Haspel to brief Senate leaders on Khashoggi murder, source says",250
https://www.foxnews.com/politics/how-avenattis-2020-aspirations-fizzled-skeletons-came-to-light,How Avenatti’s 2020 aspirations fizzled: ‘Skeletons came to light’,246
https://www.foxnews.com/politics/rubio-trump-pardoning-manafort-would-be-a-terrible-mistake,Rubio: Trump pardoning Manafort would be a 'terrible mistake',229
https://www.foxnews.com/politics/sierahs-law-database-of-violent-offenders-unanimously-passes-ohio-house-85-0,"Sierah's Law, targeting violent offenders, advances in Ohio on 85-0 House vote",192
https://www.foxnews.com/politics/cohen-told-mueller-about-russian-outreach,Cohen told Mueller about Russian outreach,189
https://www.foxnews.com/politics/who-is-william-barr-5-things-to-know-about-the-potential-next-attorney-general,Who is William Barr? 5 things to know about the potential next attorney general,157
https://www.foxnews.com/politics/trump-names-gen-mark-milley-to-succeed-joint-chiefs-chairman-gen-joseph-dunford,Trump names Gen. Mark Milley to succeed Joint Chiefs Chairman Gen. Joseph Dunford,150
https://www.foxnews.com/politics/with-george-bushs-passing-many-belatedly-appreciate-his-tenure,With George H.W. Bush's passing comes belated appreciation for his tenure,148
https://www.foxnews.com/politics/read-michael-cohen-sentencing-memo-filed-by-prosecutors,READ: Michael Cohen sentencing memo filed by prosecutors,136
https://www.foxnews.com/politics/moscow-receives-notification-u-s-is-ditching-key-arms-treaty,Moscow receives notification U.S. is ditching key arms treaty,133
https://www.foxnews.com/politics/alaska-democrat-plans-to-appeal-state-house-recount-loss-by-a-single-vote,Alaska Democrat plans to appeal after Republican wins state House recount by a single vote,132
https://www.foxnews.com/politics/arkansas-capital-city-elects-black-mayor-for-first-time,Arkansas' capital city elects black mayor for first time,128
https://www.foxnews.com/politics/missouri-sen-elect-josh-hawley-probed-complaint,Missouri Sen.-elect Josh Hawley probed after complaint from liberal group,127
https://www.foxnews.com/politics/george-h-w-bush-biographer-jon-mecham-draws-laughs-from-bush-kids-during-eulogy,George H.W. Bush's biographer Jon Meacham draws laughs from Bush kids during eulogy,125
https://www.foxnews.com/politics/george-h-w-bushs-personal-anecdotes-recalled-by-george-w-bush-during-eulogy,George H.W. Bush's personal anecdotes recalled by George W. Bush during eulogy,124
https://www.foxnews.com/politics/why-media-will-be-crucial-in-winnowing-huge-democratic-field,Why media will be crucial in winnowing huge Democratic field,118
https://www.foxnews.com/politics/trump-prods-mcconnell-on-sentencing-bill-go-for-it-mitch,Trump prods McConnell on sentencing bill: 'Go for it Mitch!',99
https://www.foxnews.com/politics/kirstjen-nielsen-dhs-secretarys-job-is-safe-after-post-midterm-performance-at-u-s-mexico-border-report,"Tough border stance has DHS boss Kirstjen Nielsen back in Trump's good graces, reports say",98
https://www.foxnews.com/politics/transcript-james-comey-interview-with-house-committees,TRANSCRIPT: James Comey interview with House committees,90
https://www.foxnews.com/politics/michael-cohens-case-from-standing-by-trump-to-implicating-him-in-plea-deal-a-timeline,"Michael Cohen's case, from standing by Trump to implicating him in plea deal: A timeline",70
https://www.foxnews.com/politics/michael-cohens-legal-problems-involve-business-dealings-payments-to-porn-star-what-to-know,"Michael Cohen's legal problems involve business dealings, payments to porn star: What to know",64
https://www.foxnews.com/politics/george-h-w-bushs-funeral-memorial-services-everything-you-need-to-know,"George H.W. Bush's funeral, memorial services: Everything you need to know",63
https://www.foxnews.com/politics/who-is-john-kelly-a-look-at-trumps-white-house-chief-of-staff,Who is John Kelly? A look at Trump's White House chief of staff,61
https://www.foxnews.com/politics/george-w-bush-reveals-george-h-w-bushs-last-words-on-earth-during-emotional-eulogy,George W. Bush reveals George H.W. Bush's 'last words on Earth' during emotional eulogy,48
https://www.foxnews.com/politics/george-h-w-bush-casket-visited-by-service-dog-sully-in-capitol-rotunda,George H.W. Bush's casket visited by service dog Sully in Capitol Rotunda,46
https://www.foxnews.com/politics/george-h-w-bush-funeral-program-service-at-washington-national-cathedral,George H.W. Bush's funeral program for Wednesday's service at Washington National Cathedral,46
https://www.foxnews.com/politics/officials-may-toss-house-result-over-fraud,Officials may toss House result over fraud,35
https://www.foxnews.com/politics/george-h-w-bush-eulogists-recall-funny-memories-standout-quotes-read-the-highlights,"George H.W. Bush eulogists recall funny memories, standout quotes: Read the highlights",35
https://www.foxnews.com/politics/george-h-w-bush-will-be-taken-to-final-resting-place-on-his-special-4141-train,George H.W. Bush will be taken to final resting place on his special ‘4141’ train,35
https://www.foxnews.com/politics/huawei-executive-arrest-will-not-hinder-trade-talks-with-china-kudlow-says,"Huawei executive's arrest will not hinder trade talks with China, Kudlow says",31
https://www.foxnews.com/politics/george-h-w-bush-mourners-pay-tribute-to-the-late-president-with-colorful-socks,George H.W. Bush mourners pay tribute to the late president with colorful socks,30
https://www.foxnews.com/politics/who-is-gen-mark-milley-trumps-pick-for-joint-chiefs-chairman,"Who is Gen. Mark Milley, Trump's pick for Joint Chiefs Chairman?",25
https://www.foxnews.com/politics/lawmakers-re-elect-guardian-of-new-hampshire-primary-despite-work-on-trump-election-commission,"Lawmakers re-elect guardian of New Hampshire primary, despite work on Trump election commission",24
https://www.foxnews.com/politics/george-h-w-bush-remembered-as-someone-you-wouldve-wanted-on-your-side-former-senator-eulogizes,"George H.W. Bush remembered as someone ‘you would’ve wanted on your side,’ Sen. Alan Simpson eulogizes",23
https://www.foxnews.com/politics/top-fbi-official-bill-priestap-to-leave-government,Top FBI official Bill Priestap to leave government,19
https://www.foxnews.com/politics/george-h-w-bush-to-be-honored-with-missing-man-flyover-at-funeral,George H.W. Bush to be honored with missing man flyover at funeral,18
https://www.foxnews.com/politics/flight-status-c-a-v-u,Flight Status: C-A-V-U,16
https://www.foxnews.com/politics/lame-duck-indeed,"Lame duck, indeed",15
https://www.foxnews.com/politics/george-h-w-bushs-funeral-program-for-texas-services-thursday,George H.W. Bush's funeral program for Texas services Thursday,8
https://www.foxnews.com/politics/george-papadopoulos-ex-trump-aide-implicated-in-russia-probe-who-is-he,"George Papadopoulos, ex-Trump aide, implicated in Russia probe: Who is he?",6
https://www.foxnews.com/politics/bob-bergland-former-agriculture-secretary-dies-at-90,"Bob Bergland, former agriculture secretary, dies at 90",5
